,0
2464,a  nod's as good as  a  wink
2465,1989  Donnie  Radcliffe
2466,a  no-go  area
2467,a  big noise:
2468,make  a noise
2469, as  nothing  compared  to
2470,nothing  daunted
2471,nothing  doing
2472,nothing  less  than
2473,think  nothing of it
2474, ain't  seen nothing yet
2475, or  never
2476, you're  talking
2477, nudge and a  wink
2478,nudge  nudge wink wink
2479,nuff  said
2480,make  a  nuisance  of  yourself
2481,a  back  number:
2482,by  numbers
2483,do a  number  on
2484,have  someone's  number
2485,on  it
2486,make  your  number
2487,someone's  number  is up
2488,without  number
2489,be  nuts about
2490,do  your  nut
2491,for  nuts
2492,nuts  and bolts
2493,a  tough
2494, hard  nut to  crack
2495,a  wooden nutmeg
2496,in  a nutshell
2497,rest  on  your  oars  Q
2498,stick  poke
2499, put  your  oar in
2500,feel  your  oats
2501,get  your  oats
2502,off  your  oats
2503,sow  your  wild oats
2504,no  object
2505,Occam's  razor
2506,odd one  man  out
2507,lay  give odds Q
2508,over  the odds
2509,shout  the odds
2510,odour  of  sanctity  Qa
2511,off  and on
2512,off  and  running
2513, hanging  offence:
2514,just  another  day  at  the  office
2515,in  the  offing
2516,oil  someone's  palm:
2517,no  oil  painting
2518,oil  and  water
2519,oil  the wheels
2520,any  old how
2521,of  the old school
2522,1998  Imogen
2523,old  as the  hills:
2524, ancient as the  hills
2525,the  old boy  network
2526,the  old  days
2527,old  enough to be someone's  father
2528,1997  Nelson  DeMille
2529,an  old one
2530,the  old school tie
2531,an  old  wives'  tale
2532,play  Old  Harry  with:
2533,hold  out
2534, offer an olive  branch
2535,be  on about
2536,be  on at someone
2537,be  on to someone
2538,be  on to something
2539,it's  not on
2540,on  and off
2541,you're  on
2542,"once  a —,  always  a"
2543,1993  Margaret  Atwood
2544,once  and  future
2545,"once  bitten, twice shy"
2546,once  every  once in a while
2547,1989  Annie  Dillard
2548,get  something  in one
2549,one on one  one to one
2550,the  one that got  away
2551,rolled  into one:
2552,one-horse  race
2553,one-horse  town
2554,know  your  onions
2555,be  open with
2556,an  open book:
2557,in  into  the open Q
2558,for  openers
2559,opportunity  knocks
2560,keep  leave  your  options open
2561,squeeze  suck  an  orange
2562,into  orbit
2563,orders  are  orders
2564, of  order
2565, the other  half  lives
2566, and  away
2567,out-Herod  Herod:
2568, great  outdoors
2569, outside  of
2570,over  and done with
2571,go  overboard
2572,throw  something  overboard
2573,overplay  your  hand
2574,come  into its
2575, your  own
2576,get  your  own  back
2577,hold  your  own
2578,not  is
2579,paper  bag
2580,above  par  Oat
2581,below  under  par  Oat
2582, a  with
2583, for the  course
2584,pass  the  parcel
2585,pare  something to the bone:
2586,something  to the bone
2587, part  and  parcel  of
2588, man of many  parts
2589,part  company  O
2590, the  parting  of the  ways
2591, party's  over
2592,pass  by on the other side
2593,pass  in a  crowd
2594,pass  muster:
2595,pass  someone's  lips:
2596,pass  the  parcel:
2597,pass  the time of
2598,pass  your  sell-by date
2599,sell  the  pass
2600,passage  of
2601, at  arms
2602,work  your  passage
2603, put it  past  someone
2604,past  it
2605, someone out to  pasture
2606, your  pat
2607, someone on the  back
2608,stand  pat
2609, a  patch  on
2610, purple  patch:
2611, path of least  resistance:
2612,the  patter  of  tiny  feet
2613,give  pause to someone
2614,pause  for thought
2615,pave  the  way  for
2616,it  always  pays  to
2617,pay  its
2618, their  way
2619,pay  the  piper
2620,pay  your  respects
2621,pay  through  the nose
2622,hold  your  peace
2623,keep  the peace
2624,no  peace for the  wicked:
2625,a  peach of a
2626,peaches  and  cream
2627,cast  throw  pearls  before swine
2628,pick  up the pieces
2629,pick  up the  threads
2630,be  no  picnic
2631,be  look  a  picture
2632,get  the  picture
2633,in  the  picture
2634,out  of the  picture
2635,a  the  picture  of
2636,nice  sweet as pie
2637,a  piece
2638,pie  in the sky
2639,all  of a piece with something
2640,1997  Edmund  White
2641,go to  pieces
2642,in  one piece
2643,a  piece
2644, slice  of the action  Q
2645,a  piece of ass
2646,a  piece of  cake:
2647,say  your  piece
2648,pierce  someone's  heart
2649,in  a  pig's  eye
2650,1987  Evelyn
2651,make  a pig of  yourself
2652,make  a pig's ear of
2653,on  the pig's  back
2654,pig  piggy  in the middle
2655,a  pig in a poke
2656,1996  John  Doran
2657,pigs  might
2658, can  fly
2659,1973  Jack
2660,squeal  yell  like  a  stuck  pig
2661,sweat  like  a pig
2662,be  someone's pigeon
2663,come  down the  pike
2664,at  the top of the  pile:
2665,make  a
2666, your  pile
2667,pile  it on
2668,pile  on the agony
2669,a  bitter  pill  to swallow
2670,sugar  sweeten the  pill
2671,from  pillar  to post
2672,a  pillar  of society
2673,drop  the pilot
2674,clean  neat  as a new pin
2675," two  pins  I'd,  she'd, etc."
2676, your  colours  to the  mast:
2677, pins  and needles
2678, could  hear  pin  drop
2679, your  ears  back
2680, a  pinch
2681,feel  the  pinch
2682,take  something  with a  pinch  of  salt:
2683, the  pink
2684,give  someone the pip
2685, someone at  to the post
2686, that  in  your  pipe and smoke it
2687,piping  hot
2688, have  a pot to  piss  in
2689, piece of  piss
2690,piss  in the wind
2691,take  the  piss  out of
2692,be  the  pits
2693,the  pit of  your
2694, the  stomach
2695,make  a  pitch
2696,more's  the  pity
2697,go  places
2698,place  in the sun
2699,what  planet  are  you on?
2700,walk  the  plank
2701,on  a  plate
2702, Vikram  Seth
2703,go  platinum
2704,play  your  cards  close to  your  chest:
2705,keep  your  cards  close to  your  chest
2706,make  a  play  for
2707,make  great  play  of
2708,play  ball:
2709,play  a  blinder
2710,play  by the  rules
2711,play  your  cards  right:
2712,play  the devil  with:
2713,play  ducks  and  drakes  with:
2714,play  fair
2715,play  someone false
2716,play  fast  and loose
2717,play  favourites
2718,play  the field:
2719,play  for time
2720,play  the  game:
2721,play  the goat:
2722,play  God:
2723,play  havoc  with:
2724,play  hell  with:
2725,play  hookey:
2726,play  a or  your  hunch
2727,play  into someone's  hands
2728,play  it cool
2729,play  the  market
2730,play  possum:
2731,play  play  it  safe
2732,play  something by ear
2733,1992  Paul  Auster
2734,play  to the  gallery:
2735,play  with  fire
2736,play  yourself  in
2737, Marilynne  Robinson
2738,at  Her
2739, His  Majesty's  pleasure
2740,sign  take  the pledge
2741,plight  your  troth
2742,lose  the plot
2743,the  plot  thickens
2744,plough  the sand
2745,go down the  plughole
2746,have  a  plum  in  your  mouth
2747,like  a  ripe  plum
2748, ripe  plums
2749,out  of  plumb
2750,plumb  the depths
2751,take  the plunge
2752,poach  on someone's  territory
2753,poacher  turned  gamekeeper
2754,have  deep pockets
2755,in  pocket  O
2756,in  someone's  pocket
2757,out  of pocket
2758,pay  out of pocket
2759,put  your  hand  in  your  pocket
2760,poetic  justice
2761,point  of no  return
2762,score  points off
2763,take  someone's point
2764,win  on  points
2765,a  poisoned  chalice
2766,poke  fun at
2767,poke  your  bib  in:
2768, stick  your  bib  in
2769,poke  your  nose into
2770,poke  your  oar  in:
2771, stickyour  oar  in
2772,take  a poke at someone
2773,be  poles  apart
2774,in  pole  position
2775,play  politics
2776,pomp  and  circumstance
2777,poor  little  rich  girl
2778,the  poor  man's
2779,poor  relation
2780,take  a  poor  view of:
2781, take  a dim
2782,have  take  a pop at
2783, the  question
2784, the  Pope  a  Catholic?
2785, tall  poppy:
2786, port  a  storm
2787,strike  a pose:
2788,like  someone possessed
2789,play  possum
2790,stir  the possum
2791,beaten  at the post:
2792,deaf  as a post:
2793, deaf  an  adder
2794,keep  someone posted
2795,keep  the pot  boiling:
2796, pot  calling  the kettle  black
2797,shit  piss or get off the pot
2798, Potemkin  village
2799,take  pot  luck
2800,sell  something for a mess of pottage
2801,your  pound of flesh
2802,pound  the  pavement
2803,pour  it on
2804,keep  your  powder
2805,powder  your  nose
2806,take  a powder
2807,more  power to  your  elbow!
2808,power  behind the  throne
2809, powers  that  be
2810,old  Spanish  practices:
2811,practice  makes  perfect
2812,practise  what  you  preach
2813,not  have  a  prayer
2814,preach  to the  converted
2815,precious  little
2816,a  pregnant  pause
2817,put  place  a  premium  on
2818,presence  of mind
2819,all  present  and  correct
2820,1982  Bernard  MacLaverty
2821,present  company  excepted
2822,press  something  home:
2823,press  the flesh
2824,come  to a  pretty  pass
2825,not  just  a  pretty  face
2826,a  pretty  penny
2827,pretty  as a  picture
2828,sitting  pretty
2829,fall  prey  to  Qbe
2830,everyone  has  their  price
2831,a  price  on someone's head
2832,price  yourself  out of the  market
2833,what  price
2834,prick  up  your  ears
2835,a  spare  prick  at a wedding
2836,a  pricking  in  your  thumbs
2837,pride  of  place
2838,your  pride  and joy
2839,prime  the pump
2840,the  primrose  path
2841,prisoner  of  conscience
2842,take  no  prisoners
2843,the  pros  and cons
2844,a  Procrustean  bed
2845,prodigal  son
2846,make  a  production  of
2847,prolong  the agony
2848,on a  promise
2849,"promises,  promises"
2850,above  proof
2851,prop  up the
2852,under  protest
2853,prunes  and  prisms
2854,go public  O
2855, the  public  eye
2856,public  enemy  number  one  Q
2857,publish  or  perish
2858,like  pulling teeth
2859,pull  a  face:
2860,pull  in  your  horns:
2861, draw  in  your  horns
2862,pull  someone's leg
2863,pull  the other one
2864,pull  the plug
2865,pull  strings
2866,pull  the  strings
2867,pull  together
2868,pull  the wool  over  someone's  eyes:
2869,pull  your  punches
2870,pull  your  socks
2871,pull  your  weight
2872,pull  yourself  together
2873,beat  smash  someone to a pulp
2874,feel  take  the pulse of
2875,pump  iron
2876,beat  someone to the punch
2877,pleased  proud  as  Punch
2878,punch  above  your  weight
2879,punch  the time  clock  Qof
2880,take  have  a  punt
2881,sell  someone a pup
2882,pure  and  simple
2883,pure  as the  driven  snow
2884, real  Simon  Pure:
2885,come  go a  purler
2886,born  in
2887, to the  purple
2888, purple  patch
2889,accidentally  on  purpose
2890,hold  the  purse  strings
2891,push  the  boat
2892,push  someone's  buttons:
2893,push  your  luck
2894,when  push  comes to  shove
2895, know  where  to put  yourself
2896, backbone  into  someone:
2897,put  it to someone
2898,put  one over on
2899,put  something behind you
2900,put  two and two together:
2901,put  up or shut up
2902,quiet  as a mouse
2903,call  it  quits
2904, the qui  vive
2905,quote  — unquote
2906,the  three  Rs
2907,breed  like  rabbits
2908,buy  the  rabbit
2909,be  in the  race
2910,1953  T.  A.  G.  Hungerford
2911,a  race  against  time
2912,off  the  rack:
2913, off  the  peg
2914,on  the  rack
2915,a  whole  raft  of
2916,at  rack  and  manger
2917,chew the  rag:
2918,from  rags  to  riches
2919,2000  Imogen  Edwards-Jones
2920,go to  rack  and  ruin
2921,"rag,  tag, and  bobtail"
2922,a  red rag to a  bull:
2923,take  the  rag  off the bush
2924,all  the  rage
2925,run  someone  ragged
2926,go off the  rails
2927,on  the  rails  Q
2928,it  never  rains  but it  pours
2929,rain  cats  and dogs
2930,rain  on somone's  parade
2931,come  rain  or shine
2932,right  as  rain
2933,at  the end of the  rainbow
2934,chase  rainbows  or  a  rainbow
2935,take  a  rain  check
2936,a  rainy  day
2937,raise  Cain:
2938,raise  the  devil:
2939,raise  a dust
2940,raise  your  eyebrows:
2941,raise  your  hat to someone
2942,raise  hell:
2943,raise  the  roof
2944,raise  the  wind
2945,a  rake's  progress
2946,thin  as a  rake
2947,ram  something  home:
2948,break  rank
2949, ranks  Q
2950,close  ranks  Q
2951,pull  rank
2952,rise  through
2953, from  the  ranks  Qof
2954,a  king's  ransom:
2955,beat  the  rap
2956,rap  someone on
2957,take  the  rap
2958,blow  a  raspberry
2959,rats  deserting  a  sinking  ship
2960,rattle  someone's cage
2961,rattle  sabres
2962,come  the raw  prawn
2963,1959  Eric
2964, the raw  ©in
2965,touch  someone on the  raw
2966,ray  of  sunshine
2967,Occam's  razor:
2968,on  a  razor's  edge:
2969,read  between the  lines
2970,read  someone  like  a book
2971,read  my  lips
2972,read  the  riot  act
2973,take  something as  read
2974,you  wouldn't  read  about it
2975,ready  for  the off
2976,ready  to  roll
2977,for  real
2978,1992  Michael
2979,get  real!
2980,1995  Jayne  Miller
2981,the  real  thing
2982,reap  the  harvest
2983, fruits  of
2984,you  reap  what you sow
2985,rear  its head
2986,for  reasons best known to himself
2987,"herself,  etc."
2988,see reason  sense
2989,a  rebel without a cause
2990,be  at
2991, on the  receiving  end
2992,recharge  your  batteries
2993,for  the  record
2994,a  matter  of  record
2995,off  the  record
2996,1990  Charles  Allen
2997,on the  record
2998,put  set the  record  straight
2999,better  dead  than
3000, red  herring
3001, in tooth and  claw
3002, red  letter  day
3003,like a red rag to a  bull
3004,reds  under  the bed
3005,red-light  district
3006,redress  the  balance
3007, reduced  circumstances
3008, broken  reed
3009,a  free  rein
3010,keep  a tight  rein  on
3011,reinvent  the  wheel
3012,relieve  your  feelings
3013, remains  to be seen
3014, in  residence
3015, the  last  resort
3016, no  respecter  of  persons
3017,give  it a  rest
3018, rest  for the  wicked:
3019, no  for
3020,rest  your  case  Q
3021,rewrite  history
3022,rewrite  the  record  books
3023,rhyme  or  reason
3024, a  the  ribbon
3025,tear  something to  ribbons
3026, bit  rich
3027,good  riddance
3028,talk  speak  in  riddles
3029,for  the  ride
3030,let  something  ride
3031,ride  bodkin:
3032,ride  for  a  fall
3033,ride  herd  on
3034,ride  high
3035,ride  off into the sunset
3036,ride  on someone's  coat-tails:
3037,ride  the pine
3038,ride  the  rails
3039,ride  roughshod  over:
3040,someone  or  something  rides  again
3041,ride  shotgun
3042,a  rough
3043, easy  ride
3044,take  someone for a  ride
3045,in  full  rig
3046,bang  to  rights
3047,put  set someone  right
3048,right  as a  trivet:
3049,right  enough
3050,a  right  one
3051,she's  she'll  be  right
3052,the  life of  Riley
3053,before  since  the  rinderpest
3054,hold  the  ring
3055, Mark  Tully
3056,ring  a  bell:
3057,ring  the  changes:
3058,ring  down
3059, up the  curtain
3060,ring  the  knell  of:
3061,ring  off the hook
3062, take  a  rise  out of
3063,rise  and shine
3064,rise  from  the ashes
3065,rise  to the  bait
3066,rise  with the sun
3067,rite  of  passage
3068, on the  Ritz
3069,sell  someone down the  river
3070, for the  road
3071, road  to nowhere
3072,do a  roaring  trade
3073, Peter  to pay  Paul
3074, your  rocks  off
3075, rocket  science
3076,rise  like  a  rocket  and  fall  like  a  stick
3077,the  rocky  road  to
3078,make  a  rod  for  your  own  back
3079,a  rod in  pickle
3080,spare  the rod and spoil the  child
3081,a  Roland  for an  Oliver
3082,on  a  roll
3083,a  roll  in the hay  or  the  sack
3084,1998  Barbara  Kingsolver
3085,a  roll  Jack  Rice  couldn't  jump  over
3086,roll  of  honour  Q
3087,roll  up  your  sleeves
3088,roll  with the punches  Qof
3089,strike  someone off the  rolls
3090,all  rolled  into one
3091,1907  George  Bernard  Shaw
3092,be  rolling  in it
3093,have  people  rolling  in the  aisles:
3094,a  rolling  stone
3095,take  root
3096,give  someone enough  rope
3097,money  for old  rope:
3098, the  ropes
3099, rope  of  sand
3100,come  up  roses
3101,come  up  smelling  of  roses:
3102,there  is no  rose  without a  thorn
3103, all  roses
3104,"roses, roses,  all the way"
3105,smell  the  roses:
3106,under  the  rose
3107, of  rough
3108,rough  and  ready  Q
3109,rough  as  bags
3110, rough  diamond
3111,rough  edges
3112,rough  justice  Q
3113,a  rough  passage
3114,sleep  rough
3115,take  the  rough  with the smooth
3116,ride  roughshod  over
3117,go the  round
3118,in  the  round  O
3119,a  hard
3120, tough  row  to hoe
3121,royal  road  to
3122,not  have  two — to  rub  together
3123,rub  your  hands
3124,it  in
3125,1963  P.  M.  Hubbard
3126,rub  shoulders
3127,1943  Graham
3128,rub  someone up the  wrong  way
3129,there's  here's  the  rub
3130,burn  rubber
3131,cross  the  Rubicon
3132,ruffle  someone's  feathers
3133,smooth  someone's  ruffled  feathers
3134,cut  a  rug:
3135,pull  the  rug  from  under  someone
3136,rule  of  thumb
3137," rules,  OK?"
3138,rule  the roost
3139,run  the  rule  over
3140,rumour  has it
3141,be  run  off  your  feet
3142,run  it  fine:
3143, cut it  fine
3144,their  money
3145,run  to seed:
3146,have  a good run for  your  money
3147,try  to run before you can  walk
3148,run  someone close
3149,run  dry
3150,make  a run for it
3151,run  foul of
3152,run  high
3153,run  into the sand
3154,run  of the  mill
3155,run  someone out of town
3156, roll  roll
3157,sit  below the  salt
3158,take  something with a pinch
3159,worth  your  salt
3160,good  Samaritan
3161,same  difference
3162,same  here
3163,packed  like  sardines
3164,have  eyes like  saucers
3165,save  the day
3166,saved  by the bell
3167,have  something
3168, the  word
3169,go without  saying
3170,there  is no  saying
3171,throw  away  the  scabbard
3172,like  a scalded cat
3173, turn  the scales at
3174,turn  the scales
3175,make  yourself  scarce
3176,scare  the  daylights  out of:
3177,behind  the scenes
3178,change  of scene
3179, your  scene
3180,on the scent  Q
3181, whole  schmear
3182, pay  the
3183, a  and  a
3184,you  my  and I'll
3185,put the  on
3186,see  sense:
3187,set  on:
3188,set  ©
3189,shades  of
3190,wear  yourself  to a shadow
3191,a  shaggy-dog  story
3192,no  great  shakes
3193,shake  the dust off  your  feet
3194,shake  a leg
3195,drown  the  shamrock
3196,on  Shanks's  pony
3197,lick  knock
3198,something  into shape
3199,shape  up  or  ship  out
3200,share  and  share  alike
3201,shoot  it out
3202,shoot  a line
3203,shoot  yourself  in the foot
3204,1989  O'Brian
3205,all  over  the shop orshow  O
3206,talk  shop
3207,1990  Gordon
3208,curlies  short  hairs
3209,in  short  order
3210,make  short  work  of
3211,a  sandwich  short  of a  picnic:
3212,short  and sweet
3213,the  short  end of  the  stick
3214,a  big shot:
3215,by  a long shot
3216,like  a shot
3217,be  on someone's  shoulder
3218,look  over  your  shoulder
3219,all  bar
3220,heave  in sight:
3221,silence  is golden
3222,silent  as the  grave:
3223,the  silent  majority
3224,the  silent  treatment
3225,make  silk  purse  out  a sow's ear
3226, yourself  silly
3227,the  silly  season
3228,have  silver  tongue
3229,on  a  silver  platter
3230,a  silver  lining
3231,the  silver  screen
3232,the  real  Simon  Pure
3233,1991  Robert  R.  McCammon
3234,for  your  sins
3235,1994  John
3236,like  sin
3237,sing  a different tune
3238,singe  your  wings
3239,sink  or swim
3240,a  that  sinking feeling
3241,siren  song
3242,sit  at someone's feet
3243,sit  loosely on
3244,sit  heavy on the stomach
3245,sit  on someone's  tail
3246,sit  tight  O
3247,sit  up  and  take  notice
3248,at  sixes and sevens
3249,hit  knock  someone for six
3250,six  of one and  half  a  dozen of the  other
3251,that's  about the size of it
3252,get  your  skates on
3253,a  skeleton at the feast:
3254,a  skeleton in the  cupboard
3255,hit  the skids
3256,put  the skids under
3257,be  skin  and bone
3258,by  the  skin  of  your  teeth
3259,get  under  someone's  skin  Q
3260,give  someone some  skin
3261,have  a  thick
3262, thin  skin
3263,it's  no  skin  off my nose
3264,under  the  skin
3265,a  bit of  skirt:
3266, a bit  of  fluff
3267,out  of  your  skull
3268,the  sky is the  limit
3269,cut  someone some  slack
3270,take  pick  up  the  slack  O
3271,a  slap  in the face
3272,slap  on the  wrist
3273,slap  someone on the  back
3274, the  your  slate
3275,wipe  the slate  clean:
3276,sleep  easy:
3277,sleep  like  a log
3278, sleep of the  just
3279,sleep  rough:
3280,sleep  with  one eye open
3281,have  an ace up  your  sleeve:
3282,have  a  card  up  your  sleeve:
3283,laugh  up  your  sleeve:
3284,roll  up  your  sleeves:
3285, your  sleeve
3286,wear  your  heart  on  your  sleeve:
3287,take  someone for a sleigh  ride
3288,sleight  of hand
3289, slice  of the  action:
3290, slice  of the  cake
3291, something  slide
3292,sling  hash
3293,slings  and  arrows
3294,give  someone the slip
3295,let  something slip
3296,let  something slip  through  your  fingers
3297,01925  W.
3298,a  slip  a
3299,1980  Larkin
3300,slip  the pen
3301,slip  on  banana  skin
3302,slippery  slope
3303,slow  but
3304, and  sure
3305,have  a  smack  at
3306,a  smack  in the face
3307,the  wee  small  hours
3308,small  beautiful
3309,small  potatoes
3310,live  survive  on the  smell  of  an  oil  rag
3311,smell  blood
3312,smell  the  lamp
3313,smell  rat
3314,smell  the roses
3315,come  up
3316, out  smelling  of  roses
3317,come  up  smiling
3318, up in smoke  Qbe
3319,smoke  there's  fire
3320,smoke  and  mirrors
3321,watch  someone's smoke
3322, smoking  gun
3323, smooth  water
3324,smooth  someone's  ruffled  feathers:
3325, snake  in the  grass
3326, drive  someone  snaky
3327, a  snap
3328,cock  snook
3329,pure  as the  driven  snow:
3330, a  snowball's  chance  in  hell:
3331,hope  in hell
3332, to  snuff  ©up
3333,snug  as a bug in a rug
3334,sober  as a judge
3335,knock  blow  someone's socks off
3336, Barbara  Anderson
3337,knock  the  socks  off someone
3338,pull  your  socks  up
3339, a  sock  in it
3340,sock  it to someone
3341, your  socks  off
3342,from  soda to  hock
3343,have  soft spot  for
3344,come  play  the old  soldier
3345,soldier  of  fortune
3346,song  and dance  Q
3347, sop to  Cerberus
3348,sorcerer's  apprentice
3349,stand  stick  out  like  a  sore  thumb
3350,more  in  sorrow  than  in  anger
3351, takes  all  sorts
3352, David  Mitchell
3353, of  sorts  O
3354,sort  the men  from  the  boys:
3355, from  the boys
3356, life and soul of the  party:
3357, lost soul  Qa
3358,sell  your  soul:
3359,work  the soul  case  out of
3360,from  soup to nuts
3361,sour  grapes
3362,down  south
3363,make  a  silk  purse  out of a sow's
3364, the seed  seeds of
3365, Philip  Slater
3366,watch  th  is  space
3367,call  a spade a spade
3368,in  spades
3369,old  Spanish  customs
3370,a  spanner  in the  works
3371,go  spare
3372,sparks  fly
3373,it  speaks  well for
3374,speak  for  yourself
3375,speak  in tongues
3376,speak  your  mind
3377,speak  of the  devil:
3378,speak  volumes  0ofa
3379,speak  as you  find
3380, Hilary  Mantel
3381,under  someone's spell
3382,spend  a  penny:
3383,spike  someone's guns
3384,spill  the beans
3385,spill  your  guts
3386,enter  into the  spirit
3387, spirit  moves someone
3388,spit  and polish
3389,spit  and sawdust
3390,spit  blood
3391,spit  out the  dummy
3392,spit  in  the eye
3393, face  of
3394,spitting  in
3395,make  a splash
3396,split  your  sides
3397,split  the vote
3398, sporting  chance
3399, blind  spot:
3400, the spout  O
3401, sprat  to  catch  a  mackerel
3402,spread  yourself  too thin
3403,on the  spur  of the moment
3404,back  to  square  one:
3405,get  square  with
3406,have  square  eyes
3407,on the  square
3408,square  accounts  with:
3409,square  the  circle
3410, Jonathon  Green
3411, damp  squib:
3412, stab in the  dark:
3413, a shot in the  dark
3414, stab in the  back
3415,hold  the stage
3416,rain  stair  rods:
3417, rain  cats  and dogs
3418,pull  up  stakes
3419,stake  a  claim
3420, out  your  stall:
3421,stand  someone in good stead:
3422,stand  on  your  own two feet
3423,stand  out like a sore  thumb:
3424,stand  out a  mile:
3425,stand  up and be counted
3426,will  the  real  — please stand up
3427,have  stars  in  your  eyes
3428,reach  for the  stars
3429,see  stars
3430,someone's  star  is  rising
3431,take  the  starch  out of someone
3432, staring  something in the  face
3433,under  starter's  orders
3434,state  of the
3435,state  of  grace
3436,state  of  play  Q
3437,stay  loose:
3438, hang  loose
3439,stay  the  course
3440, stay  of execution
3441,stay  put
3442,stand  someone in good stead
3443,steady  as she goes
3444,steal  someone  blind
3445,steal  someone's clothes
3446,steal  a  march  on
3447,steal  the show
3448,get  up
3449, pick  up  steam  Q
3450,have  steam coming out of  your  ears
3451,let  blow off steam
3452,run  out of
3453,1992  Jeff
3454,under  your  own steam
3455,1996  Bateman
3456,steer  middle
3457,from  stem to  stern
3458,mind  watch  your  step
3459,step  into
3460,step  on it Q
3461,step  out of line
3462,step  on someone's toes:
3463,someone's  toes
3464,be  made of  sterner  stuff
3465,stew  in  your  own  juice
3466,in  the  sticks
3467,stick  out  like  a  sore  thumb:
3468,stick  out a  mile:
3469, stand out a  mile
3470,stick  at nothing
3471,stick  your  bib  in:
3472,stick  your  chin  out
3473,stick  it on
3474,stick  it to someone
3475,stick  your  neck  out
3476,1969  Bessie  Head
3477,stick  your  oar  in:
3478,stick  one
3479,stick  to someone's  fingers
3480,stick  to  your  guns:
3481,stick  to  your  ribs
3482,sticky  fingers
3483, sticky  wicket:
3484, stiff  upper  lip
3485,still  small  voice
3486,still  waters  deep
3487,sting  the  tail
3488,like  stink
3489,2000  Heighten
3490,stir  a  finger:
3491, lift  a  finger
3492,stir  your  stumps
3493, the  stocks
3494, take  stock
3495,take  stock  Qmake
3496, army  marches  on its  stomach
3497,take  something by  storm  Q
3498, up a  storm
3499,it's  that's  the  story  of my life
3500,to cut  make  a long  story  short
3501,a  stout  heart
3502,slave  over  a hot stove
3503,keep  a  straight  face
3504,the  straight  and  narrow
3505,a  straight  arrow:
3506,straight  as a die:
3507,a  straight  fight
3508,straight  from  the  shoulder  Q
3509,straight  off
3510,straight  up
3511,strain  at a gnat
3512,strain  at the leash
3513,make  strange
3514,1987  Munro
3515,clutch  grasp  orcatch  at  straws
3516,draw  the  short  straw
3517,the  last
3518, final  straw
3519,a  straw  in the wind
3520,straws  in  your  hair
3521,against  with  the  stream
3522, the  same  street
3523,streets  ahead
3524, right  up  your  street
3525,go  from  strength  to  strength
3526, tower  pillar  of  strength
3527, full  stretch  O
3528, a  stretch  Q
3529,stretch  your  legs
3530,stretch  a point
3531,stricken  in  years
3532,take  something in  your  stride
3533,strike  it  rich
3534,strike  lucky
3535, strike  it  lucky
3536,strike  oil
3537,strike  while the  iron  is hot
3538,have  a second  string  to  your  bow
3539, long is a piece of  string?
3540,sing  for  your  supper
3541,sure  thing
3542,surf  the net
3543,survival  of the  fittest
3544, the  swim
3545, back into the  swing  of  things
3546, with  a  swing
3547, full  swing
3548,swing  the lead
3549,swings  and  roundabouts
3550, Penelope  Lively
3551, double-edged  sword:
3552,sword  of  Damocles
3553, words  of one  syllable
3554, out of  sync
3555, systems  go
3556, something  out of  your  system
3557,to a  tee
3558,keep  tabs
3559, a  tab  on
3560,1978  Mario  Puzo
3561,pick  up the tab
3562,lay  something on the  table  Qmake
3563,turn  the  tables
3564,under  the  table
3565,1921W.  Somerset  Maugham
3566,come  down to  brass  tacks:
3567,a  piece of old  tackie
3568,tread  tackie
3569,"tag,  rag,  and  bobtail:"
3570,chase  your  own  tail
3571,a  piece of  tail:
3572, a piece of  ass
3573,the  tail  wags  the dog
3574,with  your  tail  between  your  legs
3575,with  your  tail  up
3576,have  what  it  takes
3577,on  the  take
3578,1990  Morley  Torgov
3579,take  someone or  something  apart  Q
3580,take  something as  read
3581,take  the  biscuit
3582,take  it or leave it
3583,take  no  prisoners:
3584,take  up the  gauntlet:
3585, the  taking
3586, Jane  Hamilton
3587,herein  therein  lies a  tale
3588,talk  big
3589,talk  of the  devil:
3590, speak  devil
3591,talk  a good game
3592, Nina  Bawden
3593,talk  nineteen to the dozen
3594, Pamela  Jooste
3595,talk  the  talk
3596,talk  through  your  hat
3597,talk  turkey:
3598, tall  order
3599, tall  poppy
3600, Lynn  Barber
3601, tandem  ©one
3602, takes  two to tango
3603, John  Diamond
3604,on the  tapis
3605,beat  whale  the  out of
3606, Anthony  Price
3607, people with the same  brush
3608, bad  bitter
3609, taste of  your  own  medicine:
3610,your  own medicine
3611,taste  blood:
3612, and  sympathy
3613,tear  your  hair  out
3614, Jill  Churchill
3615,tear  someone or  something  to  shreds
3616,without  tears
3617,teeter  on the  brink
3618, James  Ryan
3619, Kate  O'Riordan
3620,bush  telegraph
3621,tell  it  like  it is
3622,tell  something a  mile  off:
3623,tell  tales out of school
3624, Mark  Tully
3625,that  would be telling
3626,2000  Imogen  Edwards-Jones
3627,there's  no telling
3628, no  uncertain  terms:
3629,on  terms
3630,the  acid  test:
3631,test  the  water
3632,thank  your  lucky  stars
3633,no  thanks  to
3634,thanks  for the buggy  ride
3635,and  all  that
3636, and  that
3637,"been  there,  done  that"
3638,be  there  for  someone
3639,have  been  there
3640, here  before
3641,thereby  hangs  a  tale
3642,a  bit  thick
3643,give  someone
3644, get a  thick  ear
3645,have  a  thick  skin:
3646,the  thick  of  something
3647,thick  and  fast
